"","Year","fuel_type","emissions"
"248",2008,"aviation",1.956
"249",2008,"kerosene",2.161
"250",2008,"motor_gasoline",1133.592
"251",2008,"petroleum",2418.1
"252",2008,"other",129.808
"253",2009,"coal",1875.146
"254",2009,"natural_gas",1233.512
"255",2009,"aviation",1.837
"256",2009,"kerosene",2.658
"257",2009,"motor_gasoline",1126.547
"258",2009,"petroleum",2283.68
"259",2009,"other",111.175
"260",2010,"coal",1985.939
"261",2010,"natural_gas",1292.438
"262",2010,"aviation",1.87
"263",2010,"kerosene",3.019
"264",2010,"motor_gasoline",1106.996
"265",2010,"petroleum",2304.037
"266",2010,"other",119.109
"267",2011,"coal",1875.601
"268",2011,"natural_gas",1312.328
"269",2011,"aviation",1.871
"270",2011,"kerosene",1.854
"271",2011,"motor_gasoline",1073.745
"272",2011,"petroleum",2255.2
"273",2011,"other",118.056
"274",2012,"coal",1657.873
"275",2012,"natural_gas",1371.561
"276",2012,"aviation",1.737
"277",2012,"kerosene",0.801
"278",2012,"motor_gasoline",1065.783
"279",2012,"petroleum",2195.206
"280",2012,"other",114.144
"281",2013,"coal",1717.845
"282",2013,"natural_gas",1408.38
"283",2013,"aviation",1.546
"284",2013,"kerosene",0.787
"285",2013,"motor_gasoline",1077.386
"286",2013,"petroleum",2221.313
"287",2013,"other",119.629
"288",2014,"coal",1713.367
"289",2014,"natural_gas",1437.536
"290",2014,"aviation",1.5
"291",2014,"kerosene",1.363
"292",2014,"motor_gasoline",1084.819
"293",2014,"petroleum",2251.576
"294",2014,"other",112.231
"295",2015,"coal",1481.898
"296",2015,"natural_gas",1478.884
"297",2015,"aviation",1.462
"298",2015,"kerosene",0.967
"299",2015,"motor_gasoline",1114.4
"300",2015,"petroleum",2289.93
"301",2015,"other",115.867
"302",2016,"coal",1355.2
"303",2016,"natural_gas",1489.851
"304",2016,"aviation",1.415
"305",2016,"kerosene",1.317
"306",2016,"motor_gasoline",1133.517
"307",2016,"petroleum",2312.343
"308",2016,"other",123.898
"309",2017,"coal",1317.952
"310",2017,"natural_gas",1470.964
"311",2017,"aviation",1.449
"312",2017,"kerosene",0.784
"313",2017,"motor_gasoline",1131.251
"314",2017,"petroleum",2331.516
"315",2017,"other",130.463
"316",2018,"coal",1262.555
"317",2018,"natural_gas",1626.908
"318",2018,"aviation",1.549
"319",2018,"kerosene",0.82
"320",2018,"motor_gasoline",1131.4
"321",2018,"petroleum",2377.323
"322",2018,"other",127.146
"323",2019,"coal",1077.52
"324",2019,"natural_gas",1684.624
"325",2019,"aviation",1.617
"326",2019,"kerosene",1.026
"327",2019,"motor_gasoline",1127.677
"328",2019,"petroleum",2373.897
"329",2019,"other",130.804
"330",2020,"coal",876.195
"331",2020,"natural_gas",1654.558
"332",2020,"aviation",1.397
"333",2020,"kerosene",1.138
"334",2020,"motor_gasoline",977.444
"335",2020,"petroleum",2043.519
"336",2020,"other",122.979
"337",2021,"coal",1002.938
"338",2021,"natural_gas",1656.12
"339",2021,"aviation",1.49
"340",2021,"kerosene",0.9
"341",2021,"motor_gasoline",1066.533
"342",2021,"petroleum",2234.824
"343",2021,"other",116.055
"344",2022,"coal",938.932
"345",2022,"natural_gas",1743.818
"346",2022,"aviation",1.543
"347",2022,"kerosene",0.795
"348",2022,"motor_gasoline",1065.004
"349",2022,"petroleum",2250.262
"350",2022,"other",111.158
"351",2023,"coal",777.318
"352",2023,"natural_gas",1759.732
"353",2023,"aviation",1.464
"354",2023,"kerosene",1.601
"355",2023,"motor_gasoline",1081.443
"356",2023,"petroleum",2250.87
"357",2023,"other",109.867
